Title,Texte de l'article,Date mise à jour
"Israel and Hamas are making progress in cease-fire and hostage-release talks, officials say","CAIRO (AP) — Israel and Hamas are making progress toward another cease-fire and hostage-release deal, officials said Tuesday, as negotiations went on and Israel threatened to expand its offensive to Gaza’s southern edge, where some 1.4 million Palestinians have sought refuge.
The talks continued in Egypt a day after Israeli forces rescued two captives in Rafah, the packed southern town along the Egyptian border, in a raid that killed at least 74 Palestinians, according to local health officials, and caused heavy destruction. The operation offered a glimpse of what a full-blown ground advance might look like.
A cease-fire deal, on the other hand, would give people in Gaza a desperately needed respite from the war, now in its fifth month, and offer freedom for at least some of the estimated 100 people still held captive in Gaza. Qatar, the United States and Egypt have sought to broker a deal in the face of starkly disparate positions expressed publicly by both Israel and Hamas.","Updated 6:41 PM GMT+1, February 13, 2024"
The head of UN’s nuclear watchdog warns Iran is ‘not entirely transparent’ on its atomic program,"DUBAI, United Arab Emirates (AP) — The head of the United Nations’ nuclear watchdog warned Tuesday that Iran is “not entirely transparent” regarding its atomic program, particularly after an official who once led Tehran’s program announced the Islamic Republic has all the pieces for a weapon “in our hands.”
Speaking at the World Governments Summit in Dubai, just across the Persian Gulf, Rafael Mariano Grossi, the director-general of the International Atomic Energy Agency, alluded to remarks made this weekend by Ali Akbar Salehi. Grossi noted “an accumulation of complexities” in the wider Middle East amid Israel’s war against Hamas in the Gaza Strip.
Iran, after the collapse of its 2015 nuclear deal with world powers, has pursued nuclear enrichment just below weapons-grade levels. Tehran has accumulated enough enriched uranium to build several weapons if it chooses. However, U.S. intelligence agencies and others assess that Iran has yet to begin a weapons program. Israel long has been believed to have its own nuclear weapons program.","Updated 5:49 PM GMT+1, February 13, 2024"
South Africa asks UN court to urgently examine Israel’s targeting of Rafah in ongoing genocide case,"CAPE TOWN, South Africa (AP) — South Africa’s government said Tuesday it had lodged an “urgent request” with the U.N.’s International Court of Justice to consider whether Israel’s military operations targeting the southern Gaza city of Rafah are a breach of provisional orders the court handed down last month in a case alleging genocide.
South Africa said it asked the court to weigh whether Israel’s strikes on Rafah, and its intention to launch a ground offensive on the city where 1.4 million Palestinians have sought shelter, breaches both the U.N. Genocide Convention and preliminary orders handed down by the court last month in a case accusing Israel of genocide.
Rafah is on the border with Egypt, which has warned that an offensive on the city now holding more than half of Gaza’s population would bring disaster.","Updated 6:35 PM GMT+1, February 13, 2024"
Why tens of thousands of Indian farmers are marching toward the capital in protest,"NEW DELHI (AP) — Tens of thousands of Indian farmers are marching toward the capital to demand guaranteed crop prices, renewing a movement from two years ago that succeeded in getting the government to repeal contentious new agricultural laws.
On Tuesday, police used tear gas, detained a number of farmers and heavily barricaded border points to block the protesters from entering New Delhi.
Authorities are determined to control the new demonstrations to avoid a repeat of the 2021 protests, in which tens of thousands of farmers camped outside the capital for over a year, enduring a harsh winter and a devastating COVID-19 surge.","Updated 2:00 PM GMT+1, February 13, 2024"
"For rights campaigner in Greece, same-sex marriage recognition follows decades of struggle","ATHENS, Greece (AP) — Years before starting a family of her own, Stella Belia was already waging a tireless campaign for legal recognition. Her fight may finally be over this week — a few months shy of her twin boys’ 17th birthday.
Greek lawmakers are expected to legalize same-sex marriage in a parliament vote Thursday, with a rare display of cross-party collaboration.
Approval would make Greece the first Orthodox Christian country to take that step, clearing multiple legal hurdles for gay couples who already have or want to have children.","Updated 10:29 AM GMT+1, February 13, 2024"
Pakistan’s election left no clear winner. So who is likely to govern and what happens next?,"ISLAMABAD (AP) — Pakistan’s parliamentary elections left no clear winner.
Allies of imprisoned ex-Prime Minister Imran Khan won the most seats in the lower house of parliament in the elections last Thursday. It was a shock outcome given the obstacles: His Pakistan Tehreek-e-Insaf party could hold no campaign rallies, had no polling agents on election day and faced internet restrictions. They won 93 out of 265 National Assembly seats. It’s not enough to form a government, however.
The other two mainstream parties, led by Khan’s rivals, also failed to secure enough seats to form a government on their own. They are the PML-N of former Prime Minister Nawaz Sharif and the PPP, led by political dynasty scion Bilawal-Bhutto Zardari. They won 75 and 54 seats respectively.","Updated 3:55 AM GMT+1, February 13, 2024"
What’s at stake in Indonesia as the world’s third-largest democracy elects a new president?,"JAKARTA, Indonesia (AP) — Indonesia, the world’s third-largest democracy, will open its polls on Wednesday to nearly 205 million eligible voters in presidential and legislative elections, the fifth since Southeast Asia’s largest economy began democratic reforms in 1998.
The sprawling archipelago of 17,000 islands and more than 270 million people from about 1,300 ethnic groups is a bastion of democracy in Southeast Asia, a diverse and economically vibrant region of authoritarian regimes, police states and nascent democracies.
The presidential election will determine who will succeed President Joko Widodo, popularly known as Jokowi, who is serving his second and final term.","Updated 3:11 AM GMT+1, February 13, 2024"
"Former PM Alexander Stubb wins Finnish presidency, narrowly defeating ex-top diplomat Pekka Haavisto","HELSINKI (AP) — Former Prime Minister Alexander Stubb won Finland’s election runoff Sunday against ex-Foreign Minister Pekka Haavisto in a close race for the presidency and the task of steering the Nordic country’s foreign and security policy now that it is a member of NATO, following Russia’s invasion of Ukraine.
With all votes counted, center-right candidate Stubb of the National Coalition Party had 51.6% of the votes, while independent candidate Haavisto from the green left got 48.4% of the votes.
The 55-year-old Stubb, who was prime minister in 2014-2015 and started his political career as a lawmaker at the European Parliament in 2004, will become the 13th president of Finland since the Nordic country’s independence from the Russian empire in 1917.","Updated 10:26 PM GMT+1, February 11, 2024"
"Allies fear the US is becoming less reliable, with growing concern over a possible Trump return","LONDON (AP) — As chances rise of a Joe Biden-Donald Trump rematch in the U.S. presidential election, America’s allies are bracing for a bumpy ride.
Many worry that a second term for Trump would be an earthquake, but tremors already abound — and concerns are rising that the U.S. could grow less dependable regardless of who wins. With a divided electorate and gridlock in Congress, the next American president could easily become consumed by manifold challenges at home — before even beginning to address flashpoints around the world, from Ukraine to the Middle East.
French President Emmanuel Macron’s recent verdict was blunt: America’s “first priority is itself.”","Updated 8:52 PM GMT+1, February 11, 2024"
"Leader of South African opposition party promises jobs, land ahead of election","DURBAN, South Africa (AP) — The controversial leader of South Africa’s third largest political party promised Saturday to create jobs for millions of the country’s unemployed and turn around its economy as he seeks to attract voters ahead of a much anticipated general election.
Economic Freedom Fighters party founder Julius Malema addressed a packed 56,000-capacity Moses Mabhida Stadium in the coastal city of Durban as he launched the party’s election manifesto to the delight of supporters.
“This is not a manifesto of promises, it’s a manifesto of commitments,” he said.","Updated 10:26 AM GMT+1, February 11, 2024"
Removal of scaffolding enshrouding the summit of Paris’ Notre Dame Cathedral gets underway,"TALLINN, Estonia (AP) — Estonia’s prime minister has been put on a wanted list in Russia because of her efforts to remove Soviet-era World War II monuments in the Baltic nation, officials said Tuesday as tensions between Russia and the West soar amid the war in Ukraine.
The name of Prime Minister Kaja Kallas appeared on the Russian Interior Ministry’s list of people wanted on unspecified criminal charges. While independent Russian news outlet Mediazona first reported Tuesday that Kallas was on the list, it said she has been on it for months. The list includes scores of officials and lawmakers from other Baltic nations.
Russian officials said that Kallas had been put on the list because of her efforts to remove World War II monuments.","Updated 6:49 PM GMT+1, February 13, 2024"
Biden meets with Jordan’s King Abdullah II as pressure increases for Gaza deal,"NEW DELHI (AP) — Indian police on Tuesday used tear gas and detained some farmers who clashed with them and tried to break barricades blocking their way to New Delhi to demand guaranteed crop prices in a repeat of 2021 protests, when they camped on the capital’s outskirts for more than a year.
Police dropped tear gas canisters on the protesting farmers from a drone at one of the border points in northern Haryana state that leads to New Delhi, where tens of thousands of farmers are headed on tractors and trucks.
Police have sealed multiple entry points into the capital with barriers of giant metal containers, barbed wire, spikes and cement blocks. The government has banned large gatherings in the capital and suspended internet service in some districts of neighboring Haryana state to prevent communication among the protesters.","Updated 10:22 AM GMT+1, February 13, 2024"
Russia puts the leader of NATO member Estonia on a wanted list over the removal of Soviet-era monuments,"A typical Carnival day in Brazil starts around 7 a.m., when the first blocos — as the free street parties are known — start their loud and colorful musical journey down the city’s streets. Drummers, stilt walkers, trumpet players and other performers, all dressed up and lacquered in glitter, attract thousands of followers.
Blocos are thematic, inspiring the costumes and songs of their followers. In Rio alone, the city authorized 500 street parties this year.
","Updated 2:14 PM GMT+1, February 13, 2024"
La Scala concert features violins that inmates made from battered migrant boats,"DUBAI, United Arab Emirates (AP) — The CEO of ChatGPT-maker OpenAI said Tuesday that the dangers that keep him awake at night regarding artificial intelligence are the “very subtle societal misalignments” that could make the systems wreak havoc.
Sam Altman, speaking at the World Governments Summit in Dubai via a video call, reiterated his call for a body like the International Atomic Energy Agency to be created to oversee AI that’s likely advancing faster than the world expects.
“There’s some things in there that are easy to imagine where things really go wrong. And I’m not that interested in the killer robots walking on the street direction of things going wrong,” Altman said. “I’m much more interested in the very subtle societal misalignments where we just have these systems out in society and through no particular ill intention, things just go horribly wrong.”","Updated 4:03 PM GMT+1, February 13, 2024"
Notre Dame cathedral’s spire revealed in Paris as reconstruction continues after fire,"DAKAR, Senegal (AP) — Security forces in Senegal have killed at least three people, including a 16-year-old boy, during protests in recent days denouncing the president’s decision to delay elections, Amnesty International said Tuesday.
The rights group in a statement said protesters were killed during a crackdown in the capital, Dakar, and in Saint-Louis and Ziguinchor cities on Feb. 9 and 10, with 16-year-old Landing Camara shot in the head.
Another large protest by civil society, opposition and trade unions was expected Tuesday evening, but organizers said authorities hadn’t authorized it. “This is everything we are fighting against,” one organizer, Amadou Samb, told The Associated Press.","Updated 3:04 PM GMT+1, February 13, 2024"
King Charles III returns to London from country retreat for expected cancer treatment,"WASHINGTON (AP) — The Senate early Tuesday passed a $95.3 billion aid package for Ukraine, Israel and Taiwan, pushing ahead after months of difficult negotiations and growing political divisions in the Republican Party over the role of the United States abroad.
The vote came after a small group of Republicans opposed to the $60 billion for Ukraine held the Senate floor through the night, using the final hours of debate to argue that the U.S. should focus on its own problems before sending more money overseas. But 22 Republicans voted with nearly all Democrats to pass the package 70-29, with supporters arguing that abandoning Ukraine could embolden Russian President Vladimir Putin and threaten national security across the globe.
“With this bill, the Senate declares that American leadership will not waiver, will not falter, will not fail,” said Senate Majority Leader Chuck Schumer, who worked closely with Republican Leader Mitch McConnell on the legislation.","Updated 7:11 PM GMT+1, February 13, 2024"
Police use tear gas against Indian farmers marching to New Delhi to demand guaranteed crop prices,"Iconic white ballot boxes and ballots to let the nearly 205 million eligible voters of Indonesia choose candidates in this Wednesday’s election have been carried across the world’s largest archipelago by motorcycle, boat and even horse — as well as on foot.
The journey can be tough.
The boxes and ballots must sometimes be hand-carried up mountains, across rivers and through villages in the forest to reach a population that is spread out across over 17,000 islands that stretch over 5,000 kilometers (3,000 miles) from east to west.","Updated 5:27 PM GMT+1, February 13, 2024"
Millions of Indonesians vote for a new president in one of the world’s largest elections,"WARSAW, Poland (AP) — Polish Prime Minister Donald Tusk said Tuesday that he has documentation proving that state authorities under the previous government used the powerful Pegasus spyware illegally and targeted a “very long” list of hacking victims.
Tusk made the comment during a news briefing alongside President Andrzej Duda, a political opponent. The use of Pegasus was alleged to have occurred under a government led by Law and Justice, a right-wing party with which Duda is aligned.
Tusk said he was sharing information with Duda that showed wide use of the aggressive spyware in Poland. He said he would provide Duda with a full set of documents, if he were interested.","Updated 4:56 PM GMT+1, February 13, 2024"
Indonesia’s presidential election has high stakes for the US and China and their rivalry in the region,"AMSTERDAM (AP) — In the early 17th century, laughter was almost never captured on a painter’s canvas.
Frans Hals changed that.
“He was not a sober painter,” said Friso Lammertse, co-curator of a major exhibition of the Dutch master’s paintings that opens this week at Amsterdam’s Rijksmuseum.","Updated 4:35 PM GMT+1, February 13, 2024"
India’s Modi arrives in the UAE on his seventh trip to a nation that is home to millions of Indians,"ATHENS, Greece (AP) — Greek Prime Minister Kyriakos Mitsotakis offered some concessions Tuesday to farming unionists who are threatening to block roads around the country amid protests over high production costs.
But it was unclear whether the representatives of farming associations who met with Mitsotakis in Athens were appeased by the concessions, which included some tax rebates. They said decisions would be taken following regional meetings of protesting farmers from later Tuesday.
Rizos Maroudas, a unionist present at the meeting, indicated he would advocate a tough stance.","Updated 4:27 PM GMT+1, February 13, 2024"
